Currency,Rate vs USD,Updated
NGN,1382.907014,"Thu, 12 Mar 2026 00:02:31 +0000"
GHS,10.813236,"Thu, 12 Mar 2026 00:02:31 +0000"
KES,129.236267,"Thu, 12 Mar 2026 00:02:31 +0000"
ZAR,16.488763,"Thu, 12 Mar 2026 00:02:31 +0000"
EGP,51.94261,"Thu, 12 Mar 2026 00:02:31 +0000"
XOF,567.10546,"Thu, 12 Mar 2026 00:02:31 +0000"
ETB,154.497024,"Thu, 12 Mar 2026 00:02:31 +0000"
UGX,3694.912344,"Thu, 12 Mar 2026 00:02:31 +0000"
TZS,2573.507998,"Thu, 12 Mar 2026 00:02:31 +0000"
MAD,9.33135,"Thu, 12 Mar 2026 00:02:31 +0000"
